#汉字	同音同调	同音异调
一	壹漪	以义移易
卤	虏鲁	露录卢鹿氯炉陆芦颅路庐赂碌
卦	挂褂	刮寡瓜蜗括
卧	沃握	窝涡我
卫	为谓位尉喂伪胃未味遗慰蔚魏畏	委伟尾薇苇违维围威偎萎纬唯危微巍桅
印	饮隐	瘾引吟听银淫因殷蚓茵姻音阴
危	为薇维围违唯微巍桅	委卫位喂胃未味威偎慰谓苇畏伪尉遗萎纬蔚伟尾魏
即	辑籍吃棘脊唧借急嫉击级寂集及圾吉极疾	纪叽妓稽给荠记几迹既鲫基饥箕继奇济挤积寄畸冀骑讥际激绩居祭机季剂系计技忌肌其己鸡期
却	壳鹊怯确雀	瘸缺
卵		乱峦
卷	圈泉拳权痊倦眷犬绢全	券劝鹃捐身
卸	骇屉谢屑蟹契泻楔解懈械	鞋写挟协些携谐歇斜邪血胁
卿	氢倾顷轻清蜻青	亲庆情擎请晴
厂	场敞	唱长昌偿畅常尝肠裳倡猖
厅	听	挺庭蜓廷停艇亭
历	立吏砾雳丽痢隶沥粒励厉力荔莉例俐利栗	李离礼犁厘理哩黎篱狸梨漓璃里鲤
厉	立吏砾雳丽痢隶沥粒励力荔历莉例俐利栗	李离礼犁厘理哩黎篱狸梨漓璃里鲤
压	押鸭鸦呀	牙蚜轧雅讶涯衙亚芽哑
厌	谚咽淹焰艳奄雁验烟沿堰唁砚宴殷研燕	严炎演颜阎延衍癌盐言眼掩
厕	侧刺册伺策赐次测	瓷此词差雌祠辞慈磁
厘	悉膝熙犁畦栖黎吸狸梨携丽晰璃析行离西篱牺漓犀稀溪希嬉蟋	李理习惜隶沥锡徙礼戏励媳历莉隙喜立吏息洗砾雳痢熄席夕系粒袭厉哩力荔昔例俐利里鲤栗细
厚	候后	侯猴吼喉
原	猿源辕援园缘元袁员圆	远宛渊愿怨冤鸳院
厢	相箱乡镶湘香	像橡项想祥向巷详享响翔象降
厦	霎煞暇下吓夏	虾傻沙狭匣杉洽砂挟杀峡侠瞎霞斜辖纱
厨	锄储橱除雏	矗畜初触楚处础出
去	娶趣	曲圈屈蛆趋躯取岖驱区渠
县	现馅陷腺漩线玄悬限旋献宪	喧仙嫌弦炫癣闲掀选纤宣衔险先轩涎舷鲜贤咸显铣
参	呻餐信三绅申深身伸	惭沈甚伞审慎婶惨肾残渗灿蚕散神
又	佑诱有幼右	忧幽尤悠犹游由邮友油优
叉	插喳差	刹察岔查茶
及	辑即籍吃棘脊唧借急嫉击级寂集圾吉极疾	纪叽妓稽给荠记几迹既鲫基饥箕继奇济挤积寄畸冀骑讥际激绩居祭机季剂系计技忌肌其己鸡期
友	有	佑幽由犹悠又油诱优忧尤游邮幼右
双	霜	爽
反	返	樊范犯烦繁帆番饭凡泛翻矾贩
发	伐	阀乏法罚筏
发	法	阀乏伐罚筏
叔	赎熟淑	树梳黍术鼠薯曙述蜀束署书抒暑疏殊枢输属数竖庶蔬恕墅漱舒
取	曲娶	圈屈蛆去漆趋躯岖驱趣区渠
受	售兽瘦授寿	收首守手熟
变	辫辨便辩遍	蝙扁匾边鞭编贬
叙	畜绪恤酗序絮旭婿蓄续	许徐需虚须吁
叛	判畔盼	胖潘攀般盘
叠	碟谍跌蝶	爹
口		寇扣
古	股凸鼓滑贾骨谷	估沽辜家雇咕告顾姑孤故固
句	聚巨剧沟钩具勾距俱拒惧炬锯据足	苟拘鞠蛆沮居车橘垢驹购狗构举矩局够菊
另	令	岭领凌灵菱玲伶蛉铃陵龄翎零
叨	刀	道悼到稻盗倒岛导祷蹈捣
只	址枝肢止纸趾支吱脂汁氏芝知征织指旨蜘之	植致治制直窒掷帜执稚志智挚值职至秩置滞殖识质
只	氏芝枝肢知织蜘支之吱脂汁	址植治致制直窒掷征帜执稚志智挚值止纸趾职至秩置滞殖指识旨质
叫	觉轿窖教校较	椒角胶娇脚嚼矫侥狡绞蕉焦郊搅交饺剿礁骄浇缴
召	昭赵罩招嘲少朝兆着绍照哨	稍找爪捎梢勺烧沼芍
叭	八巴扒捌笆芭疤吧	爸靶霸把伯耙罢拔跋坝
叮	丁盯钉	锭鼎定顶订
可	坷客课刻渴克	咳苛磕科蝌棵壳颗
台	苔抬	胎泰太汰态
史	屎使驶始矢	拭提匙势室施时柿侍拾饰誓狮氏实诗恃什示石食十式事射释嗜适尸失逝硕是虱士蚀市世试视识师湿
右	佑又诱有幼	忧幽尤悠犹游由邮友油优
叶	社页咽赦夜射业舍拾涉摄谒设	甚爷舌什奢野蛇椰也冶赊
号	鹤壕浩镐耗好嚎毫豪	蒿
司	丝思斯撕嘶私	死食四饲伺肆似赐寺
叹	碳探炭	贪檀毯袒谭坦潭弹瘫痰坛昙谈滩摊
叼	雕刁碉	钓掉吊调
叽	激绩稽居唧机几迹基饥箕奇肌其积畸鸡期讥	纪妓即给籍荠吃棘脊借急记嫉既鲫级集寂及继济挤寄冀吉骑际辑祭季剂击系计技忌圾己极疾
吁	域裕玉愈尉育誉浴寓欲芋御狱郁豫预遇语谷喻	逾予雨屿迂于愉渔榆鱼娱舆隅愚羽淤宇
吁	须需虚	许徐绪叙畜恤酗序絮旭婿蓄续
吃	辑即籍棘脊唧嗤借急嫉击级寂集及圾吉极疾	纪翅叽匙妓稽给池赤荠持尺记几迹既鲫基饥箕继奇济挤积寄畸冀耻骑讥际激绩鸡居迟祭机季齿剂侈系计斥驰技忌肌其己弛期
各	个	搁阁格戈隔割葛蛤胳哥鸽疙歌
吆	么夭哟腰要邀妖	侥摇耀药淆舀遥肴谣乐咬钥拗窑姚
合	核盖荷和何河禾盒褐	鹤喝吓呵贺赫
合	阁格革核盖荷和何葛蛤河禾盒褐	搁鹤戈割胳各鸽哥吓疙呵贺赫歌
吉	辑即籍吃棘脊唧借急嫉击级寂集及圾极疾	纪叽妓稽给荠记几迹既鲫基饥箕继奇济挤积寄畸冀骑讥际激绩居祭机季剂系计技忌肌其己鸡期
吊	钓掉调	雕刁叼碉
同	彤桐铜童瞳	统筒桶痛通
名	鸣铭螟明	命
后	候厚	侯猴吼喉
吏	立砾雳丽痢隶沥粒励厉力荔历莉例俐利栗	李离礼犁厘理哩黎篱狸梨漓璃里鲤
吐	土兔	秃凸徒涂图突屠途
向	像橡相项乡巷象	想祥箱镶厢详享响湘翔香降
吓	贺鹤厦和荷暇喝下夏赫	合虾狭匣洽核盖挟何峡河侠瞎禾辖霞斜盒呵褐
吕	侣履屡旅娄缕铝	氯滤律绿虑驴率
吗	码玛马蚂蟆妈	麻骂么
君	均钧龟军	菌窘骏峻竣俊
吝	赁躏	凛临淋鳞琳邻林磷
吞		囤褪臀屯
吟	淫银	印瘾隐引听饮因殷蚓茵音姻阴
吠	废费沸肺	啡肥菲非诽飞匪
否	匹	屁脾霹罢坏疲皮僻劈披辟啤批被譬
吧	八巴扒捌罢笆芭疤叭	爸靶霸把伯耙拔跋坝
吨	囤盹盾顿钝	墩蹲敦
吩	纷氛分芬	粉愤粪奋份忿焚坟
含	韩寒函涵汗	罕旱悍喊和翰撼憾捍焊汉酣
听	厅	挺庭蜓廷停艇亭
听	瘾引隐饮蚓	印吟淫银因殷茵音姻阴
吭	行航杭坑
吮	盾	瞬顺
启	起岂乞稽	泣迄戚漆畦脐妻七只鳍气奇砌契凄企祈骑枝旗栖欺歧柒器棋弃汽齐其溪崎期
吱	资枝肢姿支脂汁只氏芝知滋织蜘之咨	址植自治仔致制直窒掷字征帜执籽稚志智挚值止纸趾职至秩置紫滞殖指识旨子质滓
吴	蜈无芜巫诬亡梧	于务伍雾午乌舞勿武五呜污悟屋恶晤误物坞捂侮鹉
吵	炒	嘲潮抄朝钞超巢剿
吸	悉膝熙厘畦栖携晰析行西牺犀稀嬉希溪蟋	徙习戏息系袭细隙媳喜惜洗昔熄席锡夕
吹	炊	椎垂捶锤
吻	稳	免紊问瘟蚊文闻纹温
吼		猴厚后侯候喉
呀	押鸭压鸦	牙蚜轧雅讶涯衙亚芽哑
呆	待	贷戴袋带大逮代歹怠
呈	惩成城程诚承乘盛橙澄	称秤撑逞
告	估雇顾故固	沽凸糕膏辜高股古家羔篙姑稿谷咕鼓孤滑骨搅搞贾
呐	那钠纳捺娜	拿哪
呕	鸥藕欧偶区殴
员	晕酝猿源原运援园蕴元圆孕辕缘袁韵	陨允远云宛渊怨愿院冤鸳耘匀
呛	抢将枪腔	墙强
呜	于巫诬屋乌恶污	无务伍雾午吴舞勿梧五武芜悟亡蜈晤误物坞捂侮鹉
呢	泥尼	你逆溺匿腻拟
周	州舟粥洲	昼肘咒皱帚轴宙
味	为卫谓位尉喂伪胃未遗慰蔚魏畏	委伟尾薇苇违维围威偎萎纬唯危微巍桅
呵	喝	合鹤贺核盖荷和何河禾吓盒赫褐
呻	信绅申深参身伸	沈甚审慎婶肾渗神
呼	乎忽戏	壶许沪互狐唬户胡护葫虎糊蝴弧湖
命		鸣铭螟明名
咆	刨炮袍	跑泡抛
和	合鹤贺核盖荷何河喝禾吓赫盒酣褐	韩函翰涵汉旱寒活祸含豁悍或汗霍罕喊获伙货火撼憾呵焊捍惑
咏	泳蛹踊拥勇永	庸用佣
咐	附妇赴傅赋富复父腹负副付	辐浮缚符麸伏拂脯福斧俘袱甫夫敷芙蝠肤抚俯府辅幅服孵扶腐
咒	昼宙皱	肘舟周州粥洲轴帚
咕	估辜沽家姑孤	固股凸贾古雇鼓顾告滑故骨谷
咖	哈	咳卡
咙	龙隆胧窿笼聋	拢垄
咧		裂列劣烈猎
咨	资姿滋吱	自字紫仔籽子滓
咪		密靡弥蜜米秘迷谜觅泌糜
咬	夭舀	侥摇么哟淆腰遥肴姚耀药谣乐吆钥拗窑要邀妖
咱	砸杂	暂赞
咳	慨卡壳	骇苛害刻渴咖颗哈克可还开海磕坷凯科客课蝌棵孩岂揩亥楷
咸	嫌衔弦涎舷闲贤	仙现馅显掀险陷先腺纤线限铣癣鲜献县宪
咸	嫌衔弦舷涎闲贤	仙现馅显掀险陷先腺纤线限铣癣鲜献县宪
咽	谚淹焰艳宴雁沿验研燕堰砚厌唁	严炎演颜奄延烟阎殷衍癌盐言眼掩
咽	谚页淹焰艳奄雁烟验沿业堰叶厌谒砚唁宴殷夜研燕射	严炎演爷颜阎野延衍椰癌盐冶言掩眼也
哀	埃挨哎唉	蔼碍爱艾隘矮
品		频贫濒拼聘
哄	轰烘	虹宏汞鸿洪红
哈	咖	蛤咳卡
响	享想	像祥向箱镶巷详湘象降橡相项乡厢翔香
哎	哀挨唉埃	蔼碍爱艾隘矮
哑	噩愕遏饿恶雅亚鳄扼俄	牙阿压蚜芽鸭额鸦轧讶呀讹涯衙押鹅蛾
哗	豁花划桦滑猾华	化话画
哟	么夭腰吆要邀妖	侥摇耀药淆舀遥肴谣乐咬钥拗窑姚
哥	搁戈割胳鸽疙歌	阁合格革隔葛蛤各个
哨	绍少召	稍捎梢勺烧芍
哩	李礼理里鲤	厘黎丽隶沥励历莉篱立吏犁狸梨砾雳痢璃离粒厉力荔漓例俐利栗
哪	那馁	拿钠呐纳捺内娜
哭	窟枯	酷裤库苦
哮	嚣削宵硝箫销萧消	孝晓肖校小笑酵效学啸
哲	摘辙折	遮宅浙这着蔗者
哺	捕补卜	埠步不怖部布簿
哼		横恒衡
唁	谚咽淹焰艳宴雁沿验研燕堰厌砚	严炎演颜奄延烟阎殷衍癌盐言眼掩
唆	缩嗦梭	锁索琐所
唇	醇淳纯	春蠢
唉	哀挨哎埃	蔼碍爱艾隘矮
唐	堂糖棠膛搪塘	淌躺趟烫倘汤
唠	劳牢	烙姥老酪捞络
唤	换幻痪宦焕涣患	缓环欢还
唧	叽即稽籍吃棘脊借急几嫉迹基集级寂饥及箕奇积畸吉讥激绩辑居机击圾肌其鸡期极疾	纪妓给荠记既鲫继济挤寄冀骑际祭季剂系计技忌己
唬	许虎	沪狐互户葫忽胡湖壶呼戏乎护糊蝴弧
售	兽瘦受授寿	收首守手熟
唯	为薇维围违危微巍桅	委卫位喂胃未味威偎慰谓苇畏伪尉遗萎纬蔚伟尾魏
唱	倡畅	场长昌偿厂常尝肠裳敞猖
唾	拓	拖椭托脱驮驼鸵妥
啃	垦肯恳
啄	卓浊茁灼拙着琢酌	桌捉
商	伤汤	上尚裳赏晌
啊	阿
啡	菲非飞	废费沸肺诽吠肥匪
啤	皮脾疲罢	屁否匹霹批坏被譬僻劈披辟
啦	拉喇	辣落蜡腊
啸	孝肖校笑酵效	嚣晓哮削宵小硝箫销萧学消
啼	题提蹄堤	剔屉体涕梯惕剃替踢
喂	为卫谓位尉伪胃未味遗慰蔚魏畏	委伟尾薇苇违维围威偎萎纬唯危微巍桅
善	单扇赡擅膳	闪衫山陕杉删珊
喇	拉啦	辣落蜡腊
喉	侯猴	候吼厚后
喊	罕	韩悍和函翰涵汗汉酣旱寒撼憾捍焊含
喘		穿川传船串
喜	洗徙	悉熙厘习畦惜锡戏媳隙牺西希膝息栖吸携晰熄析席夕行系袭昔犀稀溪嬉蟋细
喝	鹤荷和吓呵贺赫	合核盖何河禾盒褐
喧	宣轩	选炫漩玄悬旋还县
喳	叉差查渣插扎	眨刹栅诈察岔炸乍茶闸
喷		盆
喻	域裕玉愈尉育誉浴寓欲芋御狱郁与豫预遇语吁谷	逾予雨屿迂于愉渔榆鱼娱舆隅愚羽淤宇
嗅	锈臭宿袖秀绣	朽休修羞
嗓		丧桑
嗜	拭势逝室是使柿侍市士世饰试誓氏视恃示式识事释适	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
嗡	翁
嗤	吃	翅匙弛驰斥池迟赤持尺齿耻侈
嗦	缩梭唆	锁索琐所
嗽		搜
嘀	笛的嫡涤敌芽	弟抵蒂低递帝滴底第地缔
嘉	佳加家夹茄	荚钾挟价架稼甲颊夏嫁贾假驾
嘱	贮煮主属拄	助朱住注蛛猪柱筑术珠祝铸轴竹烛蛀诸逐驻株
嘲	昭招潮朝巢着召	赵罩找爪抄吵钞超兆炒剿沼照
嘴		堆罪最醉
嘶	司丝思斯撕私	死食四饲伺肆似赐寺
嘹	聊撩疗缭辽寥潦燎僚	了料
嘿	黑
器	泣迄气弃砌汽契企妻	戚稽畦漆脐七只鳍奇凄祈骑枝旗启栖欺起歧柒乞棋齐其溪崎岂期
噩	愕俄遏饿恶鳄扼哑	阿额讹鹅蛾
噪	皂躁造灶燥	蚤糟早枣遭藻凿澡
嚎	鹤壕号毫豪	浩镐耗好蒿
嚣	哮削宵硝箫销萧消	孝晓肖校小笑酵效学啸
嚷	攘壤	让瓤
嚼	掘倔决觉角绝诀爵脚	轿叫窖椒胶娇较矫侥狡绞蕉焦教校郊搅交饺剿礁骄浇缴
囚	求仇球	蚯丘龟秋
四	食饲肆伺似赐寺	死司丝思斯撕嘶私
回	茴蛔	恢虫堕挥诲灰秽惠讳贿汇绘辉毁徽悔晦慧溃会
因	殷应茵音姻阴	印瘾隐吟听银淫饮引蚓
囤	臀吨盹盾屯顿钝	吞敦墩蹲褪
园	猿源辕原援缘元袁员圆	远宛渊愿怨冤鸳院
困		捆坤昆
囱	聪从窗疮创匆葱	丛抢幢闯床撞
围	为薇维违唯危微巍桅	委卫位喂胃未味威偎慰谓苇畏伪尉遗萎纬蔚伟尾魏
固	估雇告顾故	孤沽辜股凸古家咕鼓姑滑贾骨谷
国		锅过裹果郭
图	凸徒涂突屠途	土吐兔秃
圃	普浦谱	菩瀑仆扑葡朴铺暴蒲脯
圆	猿源辕原援缘园元袁员	远宛渊愿怨冤鸳院
圈	曲卷屈蛆鹃趋躯身倦眷捐岖驱区绢	泉券拳全漆去权劝犬取娶趣痊渠
土	吐	秃凸徒兔涂图突屠途
圣	胜盛剩乘	生牲绳升笙省甥声
在	载再	仔灾宰栽
地	的弟蒂递帝第缔	笛抵嘀低嫡滴底涤敌芽
场	长偿厂常尝肠裳敞	唱昌畅倡猖
圾	辑即籍吃棘瑟脊色借唧塞急嫉涩击级寂集及吉极疾	纪叽妓稽给荠记几迹既鲫基饥箕继奇济挤积寄畸冀骑讥际激绩居祭机季剂系计技忌肌其己鸡期
址	只征止指纸趾旨	植治致制直脂窒掷氏织帜执稚蜘之志智挚枝肢值职至支秩吱置汁芝知滞殖识质
均	君钧龟军	菌窘骏峻竣俊
坊	芳房妨肪方防	放访纺仿
坎	砍	刊勘堪看
坏		怀淮徊槐
坏	匹霹批被胚劈披	陪培徊否屁佩脾赔罢啤淮配沛怀疲槐譬皮僻辟
坐	凿座做	昨左
坑	吭
块	筷会快刽
坚	兼尖艰溅歼煎渐间监肩奸	践建鉴健涧拣捡键检碱贱箭柬简剪荐茧俭舰减见件剑
坛	弹檀痰昙谈谭潭	贪瘫毯碳叹炭探滩袒坦摊
坝	爸霸伯罢耙	八靶巴跋扒捌把笆芭拔疤吧叭
坞	勿务晤雾物误悟恶	无于伍巫诬午乌吴舞梧武五呜污芜亡屋蜈捂侮鹉
坟	焚	粉愤芬粪奋分份忿吩纷氛
坠	缀赘	锥椎追
坡	波泼	泊剖朴魄颇破婆迫
坤	昆	捆困
坦	袒毯	贪檀碳炭叹探谭潭弹瘫痰坛昙谈滩摊
坪	苹萍评屏平冯瓶凭	乒
坷	可渴	咳磕苛科客课蝌棵刻壳颗克
垂	捶椎锤	吹炊
垃	勒乐肋	了
垄	拢	咙龙隆胧窿笼聋
型	邢刑形行	醒腥星性兴姓猩杏幸省
垒	蕾累儡	勒泪擂雷类
垢	够购构	苟勾沟钩狗句
垦	肯恳啃
垫	店殿甸玷淀佃奠电惦	颠典点碘
垮		夸跨胯
埂	耿梗	羹更耕
埃	哀挨哎唉	蔼碍爱艾隘矮
埋		迈麦脉卖买
城	呈成惩程诚承乘盛橙澄	称秤撑逞
域	裕玉愈尉育誉浴寓欲芋御狱郁与豫预遇语吁谷喻	逾予雨屿迂于愉渔榆鱼娱舆隅愚羽淤宇
埠	步簿怖部布不	捕补哺卜
培	陪赔	佩坏配胚沛
基	激绩叽稽居唧机几迹饥箕奇肌其积畸鸡期讥	纪妓即给籍荠吃棘脊借急记嫉既鲫级集寂及继济挤寄冀吉骑际辑祭季剂击系计技忌圾己极疾
堂	唐糖棠膛搪塘	淌躺趟烫倘汤
堆		兑嘴队对醉罪最
堕	恢踱舵惰跺驮挥辉度徽灰	虫诲秽朵夺茴惠多慧溃会躲讳贿汇回绘毁悔晦蛔
堡	宝饱保	爆包刨暴薄雹苞豹褒抱报胞
堤	题提蹄啼	剔屉体涕梯惕剃替踢
堪	刊看勘	砍坎
堰	谚咽淹焰艳宴雁沿验研燕砚厌唁	严炎演颜奄延烟阎殷衍癌盐言眼掩
堵	睹赌肚	牍渡督毒杜都读镀度妒独
塑	缩肃宿粟诉素速溯	酥苏俗
塔		蹋踏塌
塘	堂唐糖棠膛搪	淌躺趟烫倘汤
塞	瑟圾色腮赛涩
填	恬甜田	添天舔
境	径竞静净劲敬靖竟镜	颈兢惊鲸经精睛阱荆茎井警京更景晶
墅	树疏术数述竖庶束署曙恕漱	暑梳殊枢黍输鼠薯叔属蜀淑书蔬舒赎熟抒
墓	幕募木慕暮沐目牧穆睦	亩姥姆母拇模牡
墙	强	将抢呛枪腔
增	憎曾	赠
墨	默漠磨脉末沫莫膜陌寞茉没	么蘑摩魔抹摸摹模
墩	蹲敦	囤吨盹盾顿钝
壁	庇毙臂毕弊币必避辟泌碧璧闭比蔽鄙	逼彼鼻匕笔
壕	鹤号毫嚎豪	浩镐耗好蒿
壤	攘嚷	让瓤
士	拭势逝室是使柿侍市世饰适誓试氏视恃示式识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
壮	撞状	妆装庄桩
声	生牲升胜笙甥	乘绳剩圣盛省
壳	窍咳峭跷撬翘俏怯鹊确雀却	巧桥苛瞧刻渴颗克敲悄坷蝌棵瘸侨憔乔可缺磕锹客科课
壶	狐胡葫糊蝴弧湖	许呼沪互戏唬户乎护虎忽
壹	揖衣医伊一依漪	夷疑艺肄意抑仪疫异忆翼益奕液毅屹艾已议以倚谊腋邑逸掖椅乙亦义溢遗移役易姨胰宜尾亿译绎蛇蚁矣
处	矗储畜触楚础	锄初橱除厨雏出
备	臂背贝被辈焙狈惫倍	卑悲杯北碑
复	附妇赴傅赋富咐父腹负副付	辐浮缚符麸伏拂脯福斧俘袱甫夫敷芙蝠肤抚俯府辅幅服孵扶腐
夏	厦钾暇甲下吓贾假	洽价瞎霞嘉荚家稼嫁辖架佳狭匣加挟斜夹驾虾峡侠颊茄
夕	戏细隙系	悉膝熙厘习畦息栖吸惜洗携晰熄析锡席行徙袭媳西喜牺昔犀稀嬉希溪蟋
多	朵夺	踱堕躲舵惰跺驮度
夜	页咽业叶射谒	爷野椰也冶
够	购构垢	苟勾沟钩狗句
大	贷戴袋带代待逮怠	答搭达呆歹瘩打
天	添	舔恬填甜田
太	态汰泰	台抬胎苔
夫	敷芙辐蝠缚肤符麸伏拂福幅服俘孵袱扶	妇赴腹付脯附赋斧父负甫傅咐抚俯府辅富复腐副
夭	么哟舀腰咬吆要邀妖	侥摇耀药淆遥肴谣乐钥拗窑姚
央	鸯秧殃	阳羊养杨扬痒样氧仰洋漾
失	狮施诗虱师湿尸	拭提匙势室时屎使柿侍驶拾饰誓氏实食恃什示石十式史事射释适嗜硕逝是市士蚀世矢试视识始
头	投	偷透
夷	宜疑蛇遗仪一移姨胰谊	医艺肄意抑伊疫异漪忆翼衣益奕液毅屹艾依已议以倚腋邑逸掖椅乙亦义溢役易揖尾亿译绎蚁矣壹
夸		垮跨胯
夹	佳荚加挟家颊嘉茄	假钾贾价稼甲嫁夏架驾
夺	多	朵踱堕躲舵惰跺驮度
奄	淹咽殷烟燕厌	炎艳焰延雁癌砚衍盐言掩谚颜验沿堰眼唁演阎宴研严
奇	激绩叽枝旗畦稽居鸡唧机脐歧几迹只鳍基饥箕棋肌积齐其畸崎祈骑期讥	纪泣迄妓戚漆籍给荠即吃棘脊借记急妻嫉七既鲫级寂气集及继砌济契挤寄凄企冀吉际启辑栖祭欺季柒剂起击系计器乞弃技圾汽忌溪己岂极疾
奈	奶耐乃
奉	讽凤缝	丰疯峰风封枫锋逢冯蜂
奋	愤粪分份忿	粉芬吩焚纷氛坟
奏	揍骤	走
契	骇屉泣迄屑蟹怯楔窃懈械妻谢器切气弃砌卸汽企泻解	鞋戚畦稽漆谐歇脐邪七只鳍写协奇凄些祈且骑枝启旗栖挟携欺斜起歧柒胁乞棋齐其溪崎岂血期茄
奔		本笨
奕	腋邑逸艺肄掖亦意抑义溢疫异役易忆翼衣益亿液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
奖	蒋讲桨	将姜浆酱江僵强匠疆缰降
套		掏滔萄逃淘陶讨桃涛
奠	店垫殿甸玷淀佃电惦	颠典点碘
奢	赊	社甚舌赦什射舍蛇叶拾涉摄设
奥	澳傲懊拗	袄熬凹
女	乳辱	蠕入如褥儒
奴		努怒
奶	奈乃	耐
奸	坚兼尖艰溅歼煎渐间监肩	践建鉴健涧拣捡键检碱贱箭柬简剪荐茧俭舰减见件剑
好	浩镐号耗	鹤壕毫嚎蒿豪
如	儒蠕	女入辱褥乳
妄	王旺忘望	往网枉亡汪
妆	装庄桩	壮撞状
妇	附赴傅赋富复咐父腹负副付	辐浮缚符麸伏拂脯福斧俘袱甫夫敷芙蝠肤抚俯府辅幅服孵扶腐
妈	吗	码玛么马蚂蟆麻骂
妒	肚渡杜度镀	牍堵督毒都读睹独赌
妓	际纪荠祭季记剂系既计鲫继技济忌寄冀骑	叽稽给籍即吃棘脊唧借急几嫉迹基集级箕寂饥及奇挤积畸吉讥激绩辑居机击圾肌其己鸡期极疾
妖	么夭哟腰吆要邀	侥摇耀药淆舀遥肴谣乐咬钥拗窑姚
妙	庙	描秒瞄苗渺藐
妥	椭	拖托唾脱拓驮驼鸵
妨	肪坊房防	芳放访纺方仿
妹	昧媚	美媒煤每霉枚梅楣玫眉没
妻	泣迄戚漆栖欺柒七器气弃砌汽契凄企溪	只鳍枝启旗稽畦乞棋奇歧齐其崎脐祈起岂骑期
姆	亩姥母拇牡	幕募木慕暮沐目牧墓穆模睦
姊	姐解	节杰竭截街劫借结洁戒芥接揭阶届界介捷皆诫
始	屎使史驶矢	拭提匙势室施时柿侍拾饰誓狮氏实诗恃什示石食十式事射释嗜适尸失逝硕是虱士蚀市世试视识师湿
姐	姊解	节杰竭截街劫借结洁戒芥接揭阶届界介捷皆诫
姑	估辜沽家咕孤	固股凸贾古雇鼓顾告滑故骨谷
姓	兴性杏幸	邢行型刑形醒腥星猩省
委	伟尾苇威偎萎纬	为卫位喂维未胃味慰谓围巍畏薇伪尉违遗蔚微桅唯危魏
姚	侥摇淆遥肴谣窑	么耀夭哟舀腰药乐咬吆要拗钥邀妖
姜	将浆江僵疆缰	桨酱蒋强匠讲奖降
姥	亩老姆母拇牡	劳模烙牢幕募慕木酪暮捞沐唠牧目墓穆络睦
姨	夷宜疑蛇遗仪一移胰谊	医艺肄意抑伊疫异漪忆翼衣益奕液毅屹艾依已议以倚腋邑逸掖椅乙亦义溢役易揖尾亿译绎蚁矣壹
姻	因殷茵音阴	印瘾隐吟听银淫饮引蚓
姿	资滋咨吱	自字紫仔籽子滓
威	委偎萎	为卫薇位喂伪尉维胃未味违遗纬慰蔚微桅伟尾谓苇围唯危魏巍畏
娃		袜瓦洼蛙挖
娄	侣履屡旅楼缕铝吕	露漏陋氯滤律绿虑搂驴率篓
娇	交椒蕉胶焦礁教骄浇郊	矫侥搅狡轿叫觉绞饺角窖剿校脚较嚼缴
娘		酿
娜	那钠呐纳挪捺	拿懦哪糯诺
娩	免冕碗宛婉晚勉缅挽	玩顽棉万腕眠丸绵完豌惋湾弯面
娱	逾予愉于渔榆鱼舆隅愚	屿愈浴淤狱与豫遇羽语谷喻域裕雨玉尉育誉寓欲御迂郁预吁芋宇
娶	曲去漆取趣	圈屈蛆趋躯岖驱区渠
婆		泊剖泼朴魄颇破坡波迫
婉	宛娩碗晚挽	玩顽万腕丸豌完惋湾弯
婚	昏荤	浑魂混
